,route_no,latitude,longitude,elevation,time
494,2,51.22663,6.76045,42.0,7.8
495,2,51.22666,6.7605,42.0,7.833333333333333
496,2,51.2268,6.76067,45.0,7.95
497,2,51.22697,6.76083,47.0,8.066666666666666
498,2,51.22714,6.76098,48.0,8.2
499,2,51.22731,6.76125,46.0,8.366666666666667
500,2,51.22736,6.76132,45.0,8.416666666666666
501,2,51.22736,6.76131,45.0,8.416666666666666
502,2,51.22755,6.76153,41.0,8.566666666666666
503,2,51.22809,6.76193,39.0,8.966666666666667
504,2,51.22833,6.76215,38.0,9.15
505,2,51.22832,6.76215,38.0,9.15
506,2,51.22845,6.76225,39.0,9.25
507,2,51.2288,6.76241,40.0,9.5
508,2,51.22889,6.76245,41.0,9.566666666666666
509,2,51.22893,6.76244,41.0,9.583333333333334
510,2,51.22897,6.76242,41.0,9.616666666666667
511,2,51.22905,6.76241,41.0,9.666666666666666
512,2,51.22911,6.76245,41.0,9.716666666666667
513,2,51.22924,6.7625,41.0,9.8
514,2,51.22941,6.76258,41.0,9.916666666666666
515,2,51.2294,6.76258,41.0,9.933333333333334
516,2,51.22955,6.76266,41.0,10.033333333333333
517,2,51.22984,6.76279,41.0,10.233333333333333
518,2,51.22998,6.76291,41.0,10.333333333333334
519,2,51.23021,6.76312,40.0,10.516666666666667
520,2,51.23038,6.76321,38.0,10.633333333333333
521,2,51.23056,6.76325,33.0,10.75
522,2,51.23056,6.76324,33.0,10.766666666666667
523,2,51.23059,6.76326,33.0,10.783333333333333
524,2,51.23072,6.76331,33.0,10.866666666666667
525,2,51.23103,6.76337,39.0,11.083333333333334
526,2,51.23113,6.76338,42.0,11.15
527,2,51.23112,6.76338,42.0,11.15
528,2,51.23117,6.76338,41.0,11.183333333333334
529,2,51.23134,6.76339,40.0,11.3
530,2,51.23142,6.76339,39.0,11.35
531,2,51.23191,6.76338,33.0,11.683333333333334
532,2,51.23211,6.76335,33.0,11.816666666666666
533,2,51.23214,6.76334,33.0,11.833333333333334
534,2,51.23246,6.76323,36.0,12.05
535,2,51.23256,6.76317,37.0,12.116666666666667
536,2,51.23272,6.76294,39.0,12.266666666666667
537,2,51.23283,6.76267,41.0,12.4
538,2,51.23286,6.7626,41.0,12.433333333333334
539,2,51.23285,6.76259,41.0,12.45
540,2,51.23284,6.76259,41.0,12.45
541,2,51.23286,6.7626,41.0,12.466666666666667
542,2,51.23297,6.76245,42.0,12.566666666666666
543,2,51.23311,6.76237,43.0,12.666666666666666
544,2,51.23334,6.76233,45.0,12.816666666666666
545,2,51.23385,6.76219,40.0,13.166666666666666
546,2,51.23387,6.76218,40.0,13.166666666666666
547,2,51.23392,6.76217,39.0,13.216666666666667
548,2,51.23426,6.76204,37.0,13.45
549,2,51.23452,6.76192,38.0,13.616666666666667
550,2,51.2346,6.76188,38.0,13.683333333333334
551,2,51.23481,6.76176,38.0,13.833333333333334
552,2,51.23549,6.76131,38.0,14.316666666666666
553,2,51.23609,6.76085,39.0,14.766666666666667
554,2,51.2361,6.76084,39.0,14.766666666666667
555,2,51.23629,6.76069,40.0,14.916666666666666
556,2,51.2369,6.76016,40.0,15.366666666666667
557,2,51.23716,6.75989,40.0,15.583333333333334
558,2,51.23722,6.75983,40.0,15.633333333333333
